delta_theta_deg,hip_deg,knee_deg,wheel_tau,com_x,height
0.0,49.11875943574164,86.10973223087869,0.0,0.0,0.3854302653614772
1.0,47.736454220262324,83.72797890246132,-6.106226635438361e-16,0.0,0.3928887027411013
2.0,46.35414900478301,81.34622557404394,2.1094237467877974e-15,0.0,0.4003471401207255
3.0000000000000004,44.98805521536636,78.98025521536637,-1.6653345369377348e-16,0.0,0.40757711821529136
4.0,43.63667878296546,76.62887878296544,-7.771561172376096e-16,0.0,0.41458320584560376
5.0,42.29870723337828,74.29090723337829,-3.2751579226442118e-15,0.0,0.4213696259075471
6.000000000000001,40.97298077767195,71.96518077767196,-3.3306690738754696e-16,0.0,0.42794020496542534
7.0,39.65846895319057,69.65066895319055,2.1094237467877974e-15,0.0,0.4342981707880577
9.0,37.05950304899898,65.05170304899896,-2.7755575615628914e-16,0.0,0.44638672662053386
10.0,35.773479407232855,62.76567940723283,2.609024107869118e-15,0.0,0.45212154371838575
11.0,34.49550742547411,60.48770742547413,-3.885780586188048e-15,0.0,0.45765231947707485
12.000000000000002,33.22497551205732,58.21717551205729,5.551115123125783e-17,0.0,0.46298041102857374
13.0,31.961325982437362,55.953525982437334,1.6653345369377348e-16,0.0,0.4681069488409312
14.0,30.70404848552117,53.696248485521174,-2.220446049250313e-16,0.0,0.4730328691724378
14.999999999999998,29.452674376631446,51.44487437663146,1.3322676295501878e-15,0.0,0.4777589418299977
16.0,28.206771875310423,49.198971875310406,7.216449660063518e-16,0.0,0.48228579402378047
17.0,26.96594187754155,46.958141877541564,-2.220446049250313e-16,0.0,0.48661393095645866
18.0,25.729814316525474,44.72201431652545,5.551115123125783e-17,0.0,0.4907437536648461
19.0,24.498044985519847,42.490244985519844,-6.661338147750939e-16,0.0,0.49467557453660993
20.0,23.270312751642923,40.262512751642916,0.0,0.0,0.4984096308490654
22.0,20.825775972171307,35.81797597217131,-1.1102230246251565e-16,0.0,0.505285092983327
23.0,19.608423819393394,33.600623819393384,2.275957200481571e-15,0.0,0.5084266973618465
24.000000000000004,18.394009900724825,31.386209900724822,-1.27675647831893e-15,0.0,0.5113709514788893
25.0,17.18229673251703,29.174496732517024,5.273559366969494e-16,0.0,0.5141178684718398
26.0,15.973058703329533,26.965258703329543,-2.7755575615628914e-17,0.0,0.5166674391504588
27.0,14.766080820317802,24.758280820317804,-5.273559366969494e-16,0.0,0.5190196375238749
28.0,13.561157570888016,22.553357570888007,5.273559366969494e-16,0.0,0.5211744256766507
29.000000000000004,12.358091884045756,20.35029188404575,3.3306690738754696e-16,0.0,0.5231317580651658
29.999999999999996,11.156694177931124,18.148894177931115,-7.216449660063518e-16,0.0,0.5248915852948403
31.0,9.956781481753449,15.948981481753453,2.7755575615628914e-16,0.0,0.5264538574296296
